epoch,step,metric_type,value,timestamp,batch_size,learning_rate
1,1,loss,4.751,2026-06-20T17:38:38.169040,32,0.0009000000000000001
1,1,accuracy,0.58,2026-06-20T17:38:38.169097,32,0.0009000000000000001
1,11,loss,4.761,2026-06-20T17:38:38.169128,32,0.0009000000000000001
1,11,accuracy,0.58,2026-06-20T17:38:38.169157,32,0.0009000000000000001
1,21,loss,4.771,2026-06-20T17:38:38.169179,32,0.0009000000000000001
1,21,accuracy,0.58,2026-06-20T17:38:38.169257,32,0.0009000000000000001
1,31,loss,4.781,2026-06-20T17:38:38.169306,32,0.0009000000000000001
1,31,accuracy,0.58,2026-06-20T17:38:38.169352,32,0.0009000000000000001
1,41,loss,4.791,2026-06-20T17:38:38.169417,32,0.0009000000000000001
1,41,accuracy,0.58,2026-06-20T17:38:38.169458,32,0.0009000000000000001
1,51,loss,4.801,2026-06-20T17:38:38.169498,32,0.0009000000000000001
1,51,accuracy,0.58,2026-06-20T17:38:38.169528,32,0.0009000000000000001
1,61,loss,4.811,2026-06-20T17:38:38.169568,32,0.0009000000000000001
1,61,accuracy,0.58,2026-06-20T17:38:38.169587,32,0.0009000000000000001
1,71,loss,4.821,2026-06-20T17:38:38.169603,32,0.0009000000000000001
1,71,accuracy,0.58,2026-06-20T17:38:38.169642,32,0.0009000000000000001
1,81,loss,4.831,2026-06-20T17:38:38.169677,32,0.0009000000000000001
1,81,accuracy,0.58,2026-06-20T17:38:38.169706,32,0.0009000000000000001
1,91,loss,4.841,2026-06-20T17:38:38.169729,32,0.0009000000000000001
1,91,accuracy,0.58,2026-06-20T17:38:38.169755,32,0.0009000000000000001
1,0,train_loss,4.75,2026-06-20T17:38:38.169777,32,0.001
1,0,val_loss,5.2250000000000005,2026-06-20T17:38:38.169794,32,0.001
1,0,train_accuracy,0.58,2026-06-20T17:38:38.169825,32,0.001
1,0,val_accuracy,0.5599999999999999,2026-06-20T17:38:38.169842,32,0.001
2,1,loss,4.5135000000000005,2026-06-20T17:38:38.169870,32,0.0008100000000000001
2,1,accuracy,0.66,2026-06-20T17:38:38.169904,32,0.0008100000000000001
2,11,loss,4.5235,2026-06-20T17:38:38.169927,32,0.0008100000000000001
2,11,accuracy,0.66,2026-06-20T17:38:38.169960,32,0.0008100000000000001
